03:46:56 exp:125.36/29.42/31, hash:124.87/29.52/ 99.7%, now:125.28/29.49/ 99.9%/ 99.7%/30, V:1255, P:3690+0.3%, L:0.00%/0.000, T:70.1/72.7/7.0, d:0
03:47:16 exp:125.36/29.42/31, hash:124.86/29.55/ 99.7%, now:124.88/29.60/ 99.6%/ 99.8%/31, V:1255, P:3687+0.2%, L:0.00%/0.000, T:70.0/72.4/7.0, d:0
03:47:36 exp:125.36/29.42/31, hash:124.86/29.60/ 99.7%, now:124.65/29.66/ 99.4%/ 99.8%/30, V:1256, P:3686+0.2%, L:0.00%/0.000, T:70.1/72.5/6.5, d:1
03:47:56 exp:125.36/29.42/31, hash:124.87/29.61/ 99.7%, now:125.21/29.54/ 99.9%/ 99.7%/30, V:1256, P:3691+0.4%, L:0.00%/0.000, T:70.2/72.7/6.5, d:0
03:48:16 exp:125.36/29.42/31, hash:124.88/29.61/ 99.7%, now:125.10/29.58/ 99.8%/ 99.7%/31, V:1255, P:3698+0.5%, L:0.00%/0.000, T:70.4/73.3/7.0, d:-1073741824
03:48:36 exp:125.36/29.42/31, hash:124.88/29.62/ 99.7%, now:124.87/29.66/ 99.6%/ 99.7%/31, V:1255, P:3691+0.4%, L:0.00%/0.000, T:70.1/72.7/7.0, d:0
03:48:56 exp:125.36/29.42/31, hash:124.89/29.65/ 99.7%, now:124.76/29.68/ 99.5%/ 99.8%/31, V:1255, P:3686+0.2%, L:0.00%/0.000, T:70.1/72.5/7.0, d:0
03:49:16 exp:125.36/29.42/31, hash:124.93/29.63/ 99.7%, now:124.92/29.61/ 99.7%/ 99.8%/31, V:1255, P:3686+0.2%, L:0.00%/0.000, T:70.1/72.6/7.0, d:0
03:49:36 exp:125.36/29.42/31, hash:124.90/29.60/ 99.7%, now:124.92/29.59/ 99.7%/ 99.8%/30, V:1255, P:3686+0.2%, L:0.00%/0.000, T:70.0/72.4/7.0, d:0
03:49:56 exp:125.36/29.42/31, hash:124.89/29.58/ 99.6%, now:125.02/29.57/ 99.7%/ 99.7%/30, V:1255, P:3690+0.3%, L:0.00%/0.000, T:70.3/72.9/7.0, d:0
03:50:16 exp:125.36/29.42/31, hash:124.91/29.58/ 99.7%, now:125.15/29.55/ 99.8%/ 99.7%/31, V:1255, P:3694+0.4%, L:0.00%/0.000, T:70.4/73.1/7.0, d:0
03:50:36 exp:125.36/29.42/31, hash:124.97/29.57/ 99.7%, now:125.36/29.52/100.0%/ 99.7%/30, V:1255, P:3690+0.3%, L:0.00%/0.000, T:70.3/72.7/6.5, d:0
03:50:56 exp:125.36/29.42/31, hash:125.00/29.59/ 99.7%, now:124.75/29.67/ 99.5%/ 99.7%/30, V:1255, P:3690+0.3%, L:0.00%/0.000, T:70.3/72.7/6.5, d:0
03:51:16 exp:125.36/29.42/31, hash:124.99/29.63/ 99.6%, now:124.69/29.68/ 99.5%/ 99.7%/31, V:1255, P:3694+0.4%, L:0.00%/0.000, T:70.4/73.1/6.5, d:0
03:51:36 exp:125.36/29.42/31, hash:124.94/29.68/ 99.6%, now:124.59/29.71/ 99.4%/ 99.7%/30, V:1256, P:3690+0.3%, L:0.00%/0.000, T:70.4/72.8/6.5, d:1
03:51:56 exp:125.36/29.42/31, hash:124.92/29.68/ 99.6%, now:124.88/29.65/ 99.6%/ 99.7%/30, V:1256, P:3694+0.4%, L:0.00%/0.000, T:70.3/72.7/6.5, d:0
03:52:16 exp:125.36/29.42/31, hash:124.90/29.69/ 99.6%, now:124.66/29.70/ 99.4%/ 99.7%/28, V:1256, P:3691+0.4%, L:0.00%/0.000, T:70.2/72.4/6.5, d:0
03:52:36 exp:125.36/29.42/31, hash:124.93/29.65/ 99.6%, now:125.09/29.60/ 99.8%/ 99.7%/29, V:1256, P:3695+0.5%, L:0.00%/0.000, T:70.4/72.7/6.5, d:0
