%
0439 C26 , F:608, V:325, T: 71.0, 103.2%
0439 C27 , F:591, V:325, T: 71.5,  97.0%
0439 C28 , F:603, V:325, T: 73.5,  97.3%
0439 C29 , F:603, V:326, T: 73.5, 100.3%
0439 C30 , F:624, V:323, T: 74.5,  98.9%
0439 C31 , F:599, V:323, T: 74.5,  99.6%
0439 C32 , F:593, V:324, T: 74.5, 103.4%
0439 C33 , F:576, V:319, T: 74.5, 102.3%
0439 C34 , F:610, V:319, T: 76.5, 101.3%
0439 C35 , F:600, V:322, T: 76.5,  97.1%
0439 C36 , F:590, V:323, T: 78.0,  98.8%
0439 C37 , F:593, V:324, T: 79.0,  96.3%
0439 C38 , F:611, V:323, T: 77.5, 102.9%
0439 C39 , F:598, V:321, T: 79.0,  97.9%
0439 C40 , F:605, V:322, T: 79.0, 101.0%
0439 C41 , F:587, V:322, T: 79.0,  99.8%
0439 C42 , F:598, V:319, T: 79.5,  93.1%
0439 C43 , F:606, V:319, T: 80.5, 101.5%
0439 C44 , F:588, V:320, T: 79.5,  92.5%
0439 C45 , F:600, V:318, T: 81.0,  99.5%
0439 C46 , F:599, V:319, T: 80.5,  97.8%
0439 C47 , F:591, V:322, T: 81.0,  97.7%
0439 C48 , F:598, V:319, T: 81.0,  99.2%
0439 C49 , F:600, V:319, T: 82.5, 103.8%
0439 C50 , F:594, V:320, T: 82.5,  98.3%
0439 C51 , F:598, V:316, T: 83.0, 102.4%
0439 C52 , F:590, V:318, T: 83.0, 100.8%
0439 C53 , F:589, V:319, T: 83.5,  98.6%
0439 C54 , F:612, V:320, T: 88.0,  98.6%
0439 C55 , F:591, V:315, T: 84.5,  99.4%
0439 C56 , F:580, V:312, T: 85.5,  99.7%
0439 C57 , F:559, V:320, T: 80.5, 101.7%
0439 C58 , F:612, V:319, T: 84.0, 100.5%
0439 C59 , F:621, V:330, T: 84.5,  98.4%
0439 C60 , F:588, V:319, T: 83.5, 102.0%
0439 C61 , F:594, V:319, T: 81.5, 102.8%
0439 C62 , F:580, V:319, T: 79.0, 102.0%
0439 C63 , F:577, V:325, T: 78.0, 100.8%
0439 C64 , F:605, V:324, T: 80.0,  99.3%
0439 C65 , F:609, V:323, T: 81.5,  99.2%
0439 C66 , F:607, V:319, T: 80.5, 101.7%
0439 C67 , F:591, V:320, T: 79.0,  93.2%
0439 C68 , F:593, V:319, T: 77.5,  99.4%
0439 C69 , F:583, V:322, T: 77.0,  97.5%
0439 C70 , F:587, V:323, T: 78.5, 101.7%
0439 C71 , F:594, V:327, T: 79.5,  98.7%
0439 C72 , F:607, V:322, T: 78.5, 100.5%
0439 C73 , F:580, V:322, T: 77.5, 100.6%
0439 C74 , F:577, V:322, T: 75.0,  98.8%
0439 C75 , F:593, V:323, T: 74.0, 103.7%
0439 C76 , F:591, V:322, T: 76.0, 107.5%
0439 C77 , F:599, V:323, T: 77.5,  98.4%
0439 C78 , F:583, V:327, T: 75.5,  98.4%
0439 C79 , F:594, V:327, T: 75.5,  99.7%
0439 C80 , F:590, V:325, T: 73.0,  99.5%
0439 C81 , F:581, V:326, T: 71.0,  96.3%
0439 C82 , F:609, V:325, T: 73.0, 104.9%
0439 C83 , F:595, V:332, T: 73.0, 100.3%
0439 C84 , F:604, V:326, T: 72.5,  98.5%
0439 C85 , F:615, V:326, T: 71.0,  95.0%
0439 C86 , F:586, V:326, T: 69.5, 101.9%
0439 C87 , F:598, V:330, T: 67.5, 101.8%
0439 C88 , F:588, V:330, T: 69.5, 104.5%
0439 C89 , F:604, V:330, T: 71.5,  98.5%
0439 C90 , F:605, V:329, T: 70.0, 100.7%
0439 C91 , F:618, V:330, T: 68.5,  99.1%
0439 C92 , F:584, V:330, T: 65.0,  98.1%
0439 C93 , F:574, V:335, T: 63.0,  98.0%
0439 C94 , F:598, V:334, T: 66.0, 100.5%
0439 C95 , F:610, V:339, T: 67.0, 106.2%
0439 C96 , F:608, V:335, T: 63.5,  96.7%
0439 C97 , F:602, V:335, T: 61.5, 100.3%
0439 C98 , F:578, V:333, T: 58.0, 102.1%
0439 C99 , F:581, V:338, T: 57.5,  93.9%
0439 C100, F:614, V:336, T: 60.5, 101.5%
0439 C101, F:610, V:338, T: 63.0, 102.4%
0439 C102, F:631, V:336, T: 62.5, 100.9%
0439 C103, F:608, V:338, T: 58.0,  98.1%
0439 C104, F:544, V:337, T: 54.5,  95.7%
0439 C105, F:580, V:337, T: 53.0,  99.5%
